Normalised,Name,Role,Label
andrew hind,Andrew Hind,Director of Services or Equivalent,Cork County Council
andrew jordan,Andrew Jordan,Councillor,Donegal County Council
andrew keegan,Andrew Keegan,Councillor,Dublin City Council
andrew mcdowell,Andrew McDowell,Special Advisor,Department of the Taoiseach
andrew mcguinness,Andrew McGuinness,Councillor,Kilkenny County Council
andrew montague,Andrew Montague,Councillor,Dublin City Council
andy gladney,Andy Gladney,Councillor,Carlow County Council
andy maloney,Andy Maloney,Councillor,Tipperary County Council
angela flanagan,Angela Flanagan,Special Advisor,Department of the Taoiseach
angela mcallen,Angela McAllen,Director of Services or Equivalent,Kerry County Council
anna maria delaney,Anna Maria Delaney,Chief Executive Officer,Offaly County Council
anna marie delaney,Anna Marie Delaney,CEO,Offaly County Council
anna marley,Anna Marley,Councillor,Galway City Council
ann colman dunne,Ann Colman Dunne,Assistant Secretaries or Equivalent Grades,"Department of Jobs, Enterprise and Innovation"
ann derwin,Ann Derwin,Assistant Secretary,"Department of Agriculture, Food and the Marine"
ann doherty,Ann Doherty,Chief Executive Officer,Cork City Council
anne ahern,Anne Ahern,Councillor,Carlow County Council
anne breen,Anne Breen,Councillor,Kildare County Council
anne colgan,Anne Colgan,Councillor,Dun Laoghaire-Rathdown County Council
anne devitt,Anne Devitt,Councillor,Fingal County Council
anne feeney,Anne Feeney,Councillor,Dublin City Council
anne ferris,Anne Ferris,TD,"Dáil Éireann, the Oireachtas"
anne haugh,Anne Haugh,Director of Services or Equivalent,Clare County Council
anne-marie dermody,Anne-Marie Dermody,Councillor,South Dublin County Council
anne rabbitte,Anne Rabbitte,Councillor,Galway County Council
annette hughes,Annette Hughes,Councillor,Fingal County Council
anne vaughan,Anne Vaughan,Deputy Secretary,Department of Social Protection
annie may reape,Annie May Reape,Councillor,Mayo County Council
annmarie farrelly,AnnMarie Farrelly,Director of Services or Equivalent,Fingal County Council
ann nolan,Ann Nolan,Assistant Secretary,Department of Finance
ann norton,Ann Norton,Councillor,Clare County Council
ann phelan,Ann Phelan,Minister of State,"Department of Agriculture, Food and the Marine"
anthony barry,Anthony Barry,Councillor,Cork County Council
anthony connaghan,Anthony Connaghan,Councillor,Dublin City Council
anthony connick,Anthony Connick,Councillor,Wexford County Council
anthony donohoe,Anthony Donohoe,Councillor,Wexford County Council
anthony kelly,Anthony Kelly,Councillor,Wexford County Council
anthony larkin,Anthony Larkin,Councillor,Kildare County Council
anthony lavin,Anthony Lavin,Councillor,Fingal County Council
anthony lawlor,Anthony Lawlor,TD,"Dáil Éireann, the Oireachtas"
antoinette power,Antoinette Power,Director of Services or Equivalent,Dublin City Council
aodhan o riordain,Aodhán Ó Ríordáin,Minister of State,"Department of Arts, Heritage and the Gaeltacht"
aoife breslin,Aoife Breslin,Councillor,Kildare County Council
aoife thornton,Aoife Thornton,Councillor,Kerry County Council
arthur mcdonald,Arthur McDonald,Councillor,Carlow County Council
arthur spring,Arthur Spring,TD,"Dáil Éireann, the Oireachtas"
art o leary,Art O'Leary,Secretary General,The President's Establishment
arts. culture and recreation spc,Arts. Culture and Recreation SPC,Special Adviser,Dublin City Council
averil power,Averil Power,Senator,Seanad
avril whitney,Avril Whitney,Councillor,Westmeath County Council
bairbre nic aongusa,Bairbre Nic Aongusa,Assistant Secretary,"Department of Environment, Community and Local Government"
barbara anne murphy,Barbara Anne Murphy,Councillor,Wexford County Council
barbara heslin,Barbara Heslin,Director Finance Directorate,Department of Justice and Equality
barrie robinson,Barrie Robinson,Assistant Secretary,Department of Foreign Affairs and Trade
barry cowen,Barry Cowen,TD,"Dáil Éireann, the Oireachtas"
barry donoghue,Barry Donoghue,Deputy Director of Public Prosecutions,The Office of the Director of Public Prosecutions
barry kehoe,Barry Kehoe,Director of Services or Equivalent,Westmeath County Council
barry lowry,Barry Lowry,Chief Information Officer,Department of Public Expenditure and Reform
barry lowry govt. cio,Barry Lowry Govt. CIO,Assistant Secretaries or Equivalent Grades,Department of Public Expenditure and Reform
barry lynch,Barry Lynch,Director of Services or Equivalent,Meath County Council
barry martin,Barry Martin,Councillor,Fingal County Council
barry oneill,Barry ONeill,Councillor,Donegal County Council
barry saul,Barry Saul,Councillor,Dun Laoghaire-Rathdown County Council
barry ward,Barry Ward,Councillor,Dun Laoghaire-Rathdown County Council
bartley gavin,Bartley Gavin,Director of Services or Equivalent,Sligo County Council
beirti o? hainmhire,Beirti O’ hAinmhire,Professional Officer II,Department of Arts
ben brennan,Ben Brennan,Councillor,Laois County Council
bernard caldwell,Bernard Caldwell,Councillor,Kildare County Council
bernard durkan,Bernard Durkan,TD,Dáil Éireann
bernard harbor,Bernard Harbor,Special Advisor,"Department of Communications, Energy and Natural Resources"
bernard mcguinness,Bernard McGuinness,Councillor,Donegal County Council
bernard moynihan,Bernard Moynihan,Councillor,Cork County Council
bernie comey,Bernie Comey,Professional Officer II,"Department of Communications, Climate Action & Environment"
bernie mcnally,Bernie McNally,Assistant Secretary,Department of Children and Youth Affairs
bernie o?brien,Bernie O’Brien,Director of Services or Equivalent,Carlow County Council
bernie woods,Bernie Woods,Director of Services or Equivalent,Louth County council
bill callanan,Bill Callanan,Chief Inspector,"Department of Agriculture, Food and the Marine"
bill chambers,Bill Chambers,Councillor,Clare County Council
bill slattery,Bill Slattery,Councillor,Clare County Council
billy cameron,Billy Cameron,Councillor,Galway City Council
billy coman,Billy Coman,Director of Services or Equivalent,South Dublin County Council
billy hillis,Billy Hillis,Councillor,Kildare County Council
billy kelleher,Billy Kelleher,TD,Dáil Éireann
billy lawless,Billy Lawless,Senator,Seanad
billy timmins,Billy Timmins,TD,"Dáil Éireann, the Oireachtas"
blackie gavin,Blackie Gavin,Councillor,Mayo County Council
blaise hannigan,Blaise Hannigan,Councillor,Waterford and City Council
bobby aylward,Bobby Aylward,TD,Dáil Éireann
bobby oconnell,Bobby OConnell,Councillor,Kerry County Council
bob jordan,Bob Jordan,Adviser to Minister,"Department of Environment, Community and Local Government"
bob ryan,Bob Ryan,Councillor,Cork County Council
breda brennan,Breda Brennan,Councillor,Waterford and City Council
breda gardner,Breda Gardner,Councillor,Kilkenny County Council
breda power,Breda Power,Assistant Secretary,"Department of Jobs, Enterprise and Innovation"
breeda bonner,Breeda Bonner,Councillor,South Dublin County Council
brenda gardiner,Brenda Gardiner,Councillor,Kilkenny County Council
brendan barry,Brendan Barry,Councillor,Leitrim County Council
brendan carr,Brendan Carr,Councillor,Dublin City Council
brendan cronin,Brendan Cronin,Councillor,Kerry County Council
brendan ferron,Brendan Ferron,Councillor,South Dublin County Council
brendan gleeson,Brendan Gleeson,Assistant Secretary,"Department of Agriculture, Food and the Marine"
brendan griffin,Brendan Griffin,TD,"Dáil Éireann, the Oireachtas"
brendan hayden,Brendan Hayden,Director of Services or Equivalent,Dublin City Council
brendan howlin,Brendan Howlin,Minister,Department of Public Expenditure and Reform
brendan kenny ,Brendan Kenny ,Director of Services or Equivalent,Dublin City Council
brendan killeavy,Brendan Killeavy,Councillor,Offaly County Council
brendan mcgrath,Brendan McGrath,CEO,Galway City Council
brendan mulroy,Brendan Mulroy,Councillor,Mayo County Council
brendan o?brien,Brendan O’Brien,Director of Services or Equivalent,Dublin City Council
brendan phelan,Brendan Phelan,Councillor,Laois County Council
brendan rogers,Brendan Rogers,Deputy Secretary General,Department of Foreign Affairs and Trade
brendan ryan,Brendan Ryan,Chief Executive Officer,The Courts Service
brendan smith,Brendan Smith,TD,Dáil Éireann
brendan thornhill,Brendan Thornhill,Councillor,Wicklow County Council
brendan weld,Brendan Weld,Councillor,Kildare County Council
brendan young,Brendan Young,Councillor,Kildare County Council
brian boyle,Brian Boyle,Assistant Secretaries or Equivalent Grades,The Office of the Revenue Commissioners
brian carroll,Brian Carroll,Assistant Secretary,"Department of Communications, Climate Action & Environment"
brian crowley,Brian Crowley,MEP,European Parliament
brian curtis,Brian Curtis,Director of Services or Equivalent,Dublin City Council
brian dennehy,Brian Dennehy,Councillor,Fingal County Council
brian fitzgerald,Brian Fitzgerald,Councillor,Meath County Council
brian hayes,Brian Hayes,MEP,European Parliament
brian lawlor,Brian Lawlor,Councillor,South Dublin County Council
brian leech,Brian Leech,Councillor,South Dublin County Council
brian mcdonagh,Brian McDonagh,Councillor,Fingal County Council
brian mckenna,Brian McKenna,Councillor,Monaghan County Council
brian murphy,Brian Murphy,Councillor,Dun Laoghaire-Rathdown County Council
brian o domhnaill,Brian O'Domhnaill,Senator,Seanad
brian o donoghue,Brian O'Donoghue,Councillor,Carlow County Council
brian o raghallaigh,Brian Ó Raghallaigh,Assistant Secretary,"Department of Arts, Heritage and the Gaeltacht"
brian power,Brian Power,Head of Unit,Department of Education and Skills
brian smyth,Brian Smyth,Transporation & Travel/Environment,"Department of Transport, Tourism and Sport"
brian stanley,Brian Stanley,TD,"Dáil Éireann, the Oireachtas"
brian tyrrell,Brian Tyrrell,Director of Services or Equivalent,Kilkenny County Council
brian walsh,Brian Walsh,TD,"Dáil Éireann, the Oireachtas"
brid cannon,Brid Cannon,Second Secretary General,"Department of Agriculture, Food and the Marine"
brid farrell,Bríd Farrell,Chief Agricultural Inspector,"Department of Agriculture, Food and the Marine"
brid smith,Brid Smith,Councillor,Dublin City Council
brigid teefy,Brigid Teefy,Councillor,Limerick City and County Council
bruce mcdevitt,Bruce McDevitt,Director,Dublin City Council
bruce phillips,Bruce Phillips,Director,Dublin City Council
bryan doyle,Bryan Doyle,Chief Executive Officer,Wicklow County Council
bryan reilly,Bryan Reilly,Councillor,Meath County Council
caillian ellis,Caillian Ellis,Councillor,Leitrim County Council
cait keane,Cáit Keane,Senator,Seanad
caitriona fitzpatrick,Caitriona Fitzpatrick,Adviser to Minister,"Department of Housing, Planning and Local Government"
camille loftus,Camille Loftus,Special Advisor,Department of Children and Youth Affairs
caoimhghim o caolain,Caoimhghim O Caolain,TD,"Dáil Éireann, the Oireachtas"
caoimhghin o caolain,Caoimhghin Ó'Caolain,TD,"Dáil Éireann, the Oireachtas"
carmel brady,Carmel Brady,Councillor,Cavan County Council
carmel kelly,Carmel Kelly,Councillor,Kildare County Council
carmel kirby,Carmel Kirby,Director,Limerick City and County Council
carol baxter,Carol Baxter,Assistant Secretary,Department of Justice and Equality
carol hunt,Carol Hunt,Special Adviser,"Department of Transport, Tourism and Sport"
caroline curley,Caroline Curley,Regional Services,Limerick City and County Council
caroline gildea,Caroline Gildea,Councillor,Leitrim County Council
caroline lindsay,Caroline Lindsay,Legal Adviser,The Office of the Chief State Solicitor
caroline lynch,Caroline Lynch,Councillor,Meath County Council
caroline stanley,Caroline Stanley,Councillor,Laois County Council
carol nolan,Carol Nolan,Councillor,Offaly County Council
caron mccaffrey,Caron McCaffrey,Director of Services or Equivalent,Department of Justice and Equality
carrie smyth,Carrie Smyth,Councillor,Dun Laoghaire-Rathdown County Council
carron mc kinney,Carron Mc Kinney,Councillor,Dun Laoghaire-Rathdown County Council
carron mckinney,Carron McKinney,Councillor,Dun Laoghaire-Rathdown County Council
cathal crowe,Cathal Crowe,Councillor,Clare County Council
cathal king,Cathal King,Councillor,South Dublin County Council
cathal mccann,Cathal McCann,Special Advisor,Department of Social Protection
cathal morgan,Cathal Morgan,Director,Dublin City Council
cathal o conchuir,Cathal Ó Conchúir,Councillor,Galway City Council
cathal rasmussen,Cathal Rasmussen,Councillor,Cork County Council
catherine ardagh,Catherine Ardagh,Councillor,Dublin City Council
catherine byrne,Catherine Byrne,Minister of State,Department of Health
catherine carey,Catherine Carey,Councillor,Tipperary County Council
catherine connolly,Catherine Connolly,Councillor,Galway City Council
catherine fitzgerald,Catherine Fitzgerald,Councillor,Laois County Council
catherine keenan,Catherine Keenan,Director of Services or Equivalent,Dun Laoghaire-Rathdown County Council
catherine martin,Catherine Martin,Councillor,Dun Laoghaire-Rathdown County Council
catherine murphy,Catherine Murphy,TD,"Dáil Éireann, the Oireachtas"
catherine noone,Catherine Noone,Senator,Seanad
cathleen boud,Cathleen Boud,Councillor,Dublin City Council
cathy bennett,Cathy Bennett,Councillor,Monaghan County Council
cecil beamish,Cecil Beamish,Assistant Secretary,"Department of Agriculture, Food and the Marine"
celine reilly,Celine Reilly,Director of Services or Equivalent,Dublin City Council
cha o neill,Cha O'Neill,Councillor,Waterford and City Council
charles flanagan,Charles Flanagan,Minister,Department of Foreign Affairs and Trade
charles o sullivan,Charles O Sullivan,Director of Services or Equivalent,Kerry County Council
charles phelan,Charles Phelan,Assistant Secretaries or Equivalent Grades,The Office of the Revenue Commissioners
charlie flanagan,Charlie Flanagan,TD,"Dáil Éireann, the Oireachtas"
charlie lowe,Charlie Lowe,Director of Services or Equivalent,Dublin City Council
charlie mcconalogue,Charlie McConalogue,TD,"Dáil Éireann, the Oireachtas"
charlie murphy,Charlie Murphy,Councillor,Carlow County Council
charlie o connor,Charlie O'Connor,Councillor,South Dublin County Council
chris andrews,Chris Andrews,Councillor,Dublin City Council
chris curran,Chris Curran,Councillor,Dun Laoghaire-Rathdown County Council
chris o leary,Chris O'Leary,Councillor,Cork City Council
christopher fox,Christopher Fox,Councillor,Wicklow County Council
christopher osullivan,Christopher OSullivan,Councillor,Cork County Council
christy burke,Christy Burke,Councillor,Dublin City Council
christy curtin,Christy Curtin,Councillor,Clare County Council
christy hyland,Christy Hyland,Councillor,Mayo County Council
cian ocallaghan,Cian OCallaghan,Councillor,Fingal County Council
cian prendiville,Cian Prendiville,Councillor,Limerick City and County Council
ciara conway,Ciara Conway,TD,"Dáil Éireann, the Oireachtas"
ciara mcmahon,Ciara McMahon,Councillor,Limerick City and County Council
ciara mcphillips,Ciara McPhillips,Councillor,Monaghan County Council
ciaran brogan,Ciaran Brogan,Councillor,Donegal County Council
ciaran cannon,Ciaran Cannon,TD,"Dáil Éireann, the Oireachtas"
ciaran conlon,Ciarán Conlon,Special Advisor,"Department of Jobs, Enterprise and Innovation"
ciaran cuffe,Ciaran Cuffe,Councillor,Dublin City Council
ciaran diamond,Ciaran Diamond,Head of Unit,Department of Social Protection
ciaran hayes,Ciaran Hayes,CEO,Sligo County Council
ciaran lynch,Ciaran Lynch,TD,"Dáil Éireann, the Oireachtas"
ciaran murphy,Ciarán Murphy,Assistant Secretary,Department of Defence
ciaran o moore,Ciaran O'Moore,Councillor,Dublin City Council
cieran perry,Cieran Perry,Councillor,Dublin City Council
claire byrne,Claire Byrne,Councillor,Dublin City Council
claire cullinane,Claire Cullinane,Councillor,Cork County Council
claire loftus,Claire Loftus,Director of Public Prosecutions,The Office of the Director of Public Prosecutions
claire o connor,Claire O'Connor,Councillor,Dublin City Council
claire o driscoll,Claire O'Driscoll,Councillor,Meath County Council
claire power,Claire Power,Special Advisor,Department of Social Protection
clare colleran molloy,Clare Colleran Molloy,Councillor,Clare County Council
clare curley,Clare Curley,Director of Services or Equivalent,Tipperary County Council
clare daly,Clare Daly,TD,Dáil Éireann
clare dunne,Clare Dunne,Assistant Secretary,"Department of Jobs, Enterprise and Innovation"
clare mcgrath,Clare McGrath,Chairman,The Office of Public Works
clare mcnamara,Clare Mcnamara,"Director, Construction Contracts Adjudication Service",Department of Children and Youth Affairs
clare morgan,Clare Morgan,Assistant Secretaries or Equivalent Grades,"Department of Communications, Climate Action & Environment"
clement leech,Clement Leech,Chief Medical Officer,Department of Social Protection
clifford kelly,Clifford Kelly,Councillor,Cavan County Council
clodagh henehan,Clodagh Henehan,Director of Services or Equivalent,Cork County Council
colette byrne,Colette Byrne,CEO,Kilkenny County Council
colette connolly,colette connolly,Councillor,Galway City Council
colette kelleher,Colette Kelleher,Senator,Seanad
colin menton,Colin Menton,Assistant Secretary,Department of Public Expenditure and Reform
colm brophy,Colm Brophy,Councillor,South Dublin County Council
colm burke,Colm Burke,Senator,Seanad
colm carthy,Colm Carthy,Councillor,Monaghan County Council
colm keaveney,Colm Keaveney,TD,"Dáil Éireann, the Oireachtas"
colm markey,Colm Markey,Councillor,Louth County council
colm mcginty,Colm McGinty,Specialist,"Department of Transport, Tourism and Sport"
colm murray,Colm Murray,Councillor,Longford County Council
colm o reardon,Colm O'Reardon,Deputy Secretary General,Department of Health
colm o?reardon,Colm O’Reardon,Deputy Secretary General,Department of Health
conan mckenna,Conan McKenna,Assistant Secretary,Department of Justice and Equality
conan o broin,Cónán Ó Broin,Special Adviser,"Department of Environment, Community and Local Government"
conn murray,Conn Murray,Chief Executive Officer,Limerick City and County Council
conor gouldsbury,Conor Gouldsbury,Special Advisor,Department of the Taoiseach
conor hanniffy,Conor Hanniffy,"Director, Construction Contracts Adjudication Service","Department of Communications, Energy and Natural Resources"
conor keelan,Conor Keelan,Councillor,Louth County council
conor quinn,Conor Quinn,Special Advisor,"Department of Jobs, Enterprise and Innovation"
cormac devlin,Cormac Devlin,Councillor,Dun Laoghaire-Rathdown County Council
criona ni dhalaigh,Criona Ní Dhálaigh,Councillor,Dublin City Council
criona ni dhallaigh,Criona Ni Dhallaigh,Councillor,Dublin City Council
cyril burke,Cyril Burke,Councillor,Mayo County Council
daire ni laoi,Daire Ní Laoi,Councillor,Fingal County Council
daire nolan,Daire Nolan,Councillor,Wicklow County Council
daithi de roiste,Daithí De Róiste,Councillor,Dublin City Council
daithi doolan,Daithí Doolan,Councillor,Dublin City Council
daithi o donnabhain,Daithí O Donnabháin,Councillor,Cork County Council
dalton tattan,Dalton Tattan,Assistant Secretary,Department of Education and Skills
damian o farrell,Damian O'Farrell,Councillor,Dublin City Council
damian o?farrell,Damian O’Farrell,Special Adviser,Department of Health
damian ofarrell,Damian OFarrell,Special Adviser,Department of Health
damien brady,Damien Brady,Councillor,Cavan County Council
damien drumm,Damien Drumm,Director of Services or Equivalent,Dublin City Council
damien english,Damien English,Minister,"Department of Housing, Planning and Local Government"
damien geoghegan,Damien Geoghegan,Councillor,Waterford and City Council
damien mccallion,Damien McCallion,Director,Department of Health
damien o reilly,Damien O'Reilly,Councillor,Meath County Council
damien quigg,Damien Quigg,Councillor,Kerry County Council
damien ryan,Damien Ryan,Councillor,Mayo County Council
damien treanor,Damien Treanor,Director of Services or Equivalent,Monaghan County Council
daniel butler,Daniel Butler,Councillor,Limerick City and County Council
daniel crowley,Daniel Crowley,Chief Veterinary Officer,Cork County Council
dan joe fitzgerald,Dan Joe Fitzgerald,Councillor,Cork County Council
dan mccarthy,Dan McCarthy,Councillor,Kerry County Council
dan mcinerney,Dan McInerney,CEO,Carlow County Council
dan mulhall,Dan Mulhall,Assistant Secretary,Department of Foreign Affairs and Trade
dan neville,Dan Neville,TD,"Dáil Éireann, the Oireachtas"
danny collins,Danny Collins,Councillor,Cork City Council
danny healy-rae,Danny Healy-Rae,TD,Dáil Éireann
danny mcloughlin,Danny McLoughlin,Chief Executive Officer,South Dublin County Council
danny o brien,Danny O'Brien,Councillor,South Dublin County Council
danny owens,Danny Owens,Councillor,Offaly County Council
dara calleary,Dara Calleary,TD,"Dáil Éireann, the Oireachtas"
dara mulvey,Dara Mulvey,Councillor,Sligo County Council
dara murphy,Dara Murphy,Minister of State,Department of Foreign Affairs and Trade
darragh butler,Darragh Butler,Councillor,Fingal County Council
darragh fitzpatrick,Darragh Fitzpatrick,Councillor,Kildare County Council
darragh o brien,Darragh O'Brien,Senator,Seanad
darren o rourke,Darren O'Rourke,Councillor,Meath County Council
darren scully,Darren Scully,Councillor,Kildare County Council
dave conway,Dave Conway,Director,"Department of Transport, Tourism and Sport"
dave dinnigan,Dave Dinnigan,Director of Services or Equivalent,Dublin City Council
dave o keefe,Dave O'Keefe,Councillor,Dun Laoghaire-Rathdown County Council
david cagney,David Cagney,Chief Human Resources Officer,Department of Public Expenditure and Reform
david costello,David Costello,Commissioner,Department of Justice and Equality
david cullinane,David Cullinane,Senator,Seanad
david donoghue,David Donoghue,Assistant Secretary,Department of Foreign Affairs and Trade
david doran,David Doran,Councillor,Tipperary County Council
david dunne,David Dunne,Councillor,Tipperary County Council
david fitzgerald,David Fitzgerald,Councillor,Kilkenny County Council
david gilroy,David Gilroy,Councillor,Meath County Council
david goodwin,David Goodwin,Councillor,Laois County Council
david healy,David Healy,Councillor,Fingal County Council
david hogan,David Hogan,Director of Services or Equivalent,Westmeath County Council
david hynes,David Hynes,Councillor,Wexford County Council
david joyce,David Joyce,Director of Services or Equivalent,Cork City Council
david keane,David Keane,Director of Services or Equivalent,Cork County Council
david kennedy,David Kennedy,Councillor,Kilkenny County Council
david maloney,David Maloney,Assistant Secretary,Department of Public Expenditure and Reform
david maxwell,David Maxwell,Councillor,Monaghan County Council
david mcguinness,David McGuinness,Councillor,Fingal County Council
david moloney,David Moloney,Assistant Secretary,Department of Public Expenditure and Reform
david norris,David Norris,Senator,Seanad
david o brien,David O Brien,Special Advisor,Department of Public Expenditure and Reform
david oconnor,David OConnor,Councillor,Fingal County Council
david o keeffe,David O'Keeffe,Councillor,Dun Laoghaire-Rathdown County Council
david stanton,David Stanton,Minister of State,Department of Justice and Equality
david walsh,David Walsh,Assistant Secretary,"Department of Environment, Community and Local Government"
davy daniels,Davy Daniels,Councillor,Waterford and City Council
dearbhla lawson,Dearbhla Lawson,Director of Services or Equivalent,Dun Laoghaire-Rathdown County Council
dearbhlea lawson,Dearbhlea Lawson,Director,Dun Laoghaire-Rathdown County Council
debby clarke,Debby Clarke,Assistant Secretary,Dublin City Council
deborah callaghan,Deborah Callaghan,Councillor,Kildare County Council
deborah sweeney,Deborah Sweeney,Press Adviser,"Department of Transport, Tourism and Sport"
declan breathnach,Declan Breathnach,Councillor,Louth County council
declan bree,Declan Bree,Councillor,Sligo County Council
declan clune,Declan Clune,Councillor,Waterford and City Council
declan daly,Declan Daly,Deputy Chief Executive,Cork County Council
declan doocey,Declan Doocey,Councillor,Waterford and City Council
declan flanagan,Declan Flanagan,Councillor,Dublin City Council
declan harvey,Declan Harvey,Councillor,Offaly County Council
declan hughes,Declan Hughes,Assistant Secretary,"Department of Jobs, Enterprise and Innovation"
declan hurley,Declan Hurley,Councillor,Cork County Council
declan kelleher,Declan Kelleher,Assistant Secretary,Department of Foreign Affairs and Trade
declan kelly,Declan Kelly,Economic Adviser,Department of Foreign Affairs and Trade
declan kirrane,Declan Kirrane,Director of Services or Equivalent,Offaly County Council
declan mcdonnell,Declan McDonnell,Councillor,Galway City Council
declan o farrell,Declan O'Farrell,Economic Adviser,"Dáil Éireann, the Oireachtas"
declan rigney,Declan Rigney,Assistant Secretaries or Equivalent Grades,The Office of the Revenue Commissioners
declan wallace,Declan Wallace,Director of Services or Equivalent,Dublin City Council
deirdre clune,Deirdre Clune,MEP,European Parliament
deirdre donnelly,Deirdre Donnelly,Councillor,Dun Laoghaire-Rathdown County Council
deirdre forde,Deirdre Forde,Councillor,Cork County Council
deirdre grant,Deirdre Grant,Special Advisor,"Department of Jobs, Enterprise and Innovation"
deirdre hanlon,Deirdre Hanlon,Assistant Secretary,Department of Public Expenditure and Reform
deirdre heney,Deirdre Heney,Councillor,Dublin City Council
deirdre kingston,Deirdre Kingston,Councillor,Dun Laoghaire-Rathdown County Council
deirdre o brien,Deirdre O'Brien,Councillor,Cork County Council
deirdre o donovan,Deirdre O'Donovan,Councillor,South Dublin County Council
deirdre o keeffe,Deirdre O'Keeffe,Assistant Secretary,Department of Justice and Equality
deirdre o?keeffe,Deirdre O’Keeffe,Assistant Secretary,"Department of Transport, Tourism and Sport"
deirdre wadding,Deirdre Wadding,Councillor,Wexford County Council
denise mitchell,Denise Mitchell,Councillor,Dublin City Council
denis foley,Denis Foley,Councillor,Carlow County Council
denis landy,Denis Landy,Senator,Seanad
denis leahy,Denis Leahy,Councillor,Tipperary County Council
denis naughten,Denis Naughten,Minister,"Department of Communications, Climate Action & Environment"
denis naughton,Denis naughton,Minister,"Department of Communications, Climate Action & Environment"
denis o callaghan,Denis O'Callaghan,Councillor,Dun Laoghaire-Rathdown County Council
denis o donovan,Denis O'Donovan,Senator,Seanad
dennis naughten,Dennis Naughten,Minister,"Department of Communications, Climate Action & Environment"
dep micheal martin,Dep Micheal Martin,TD,"Dáil Éireann, the Oireachtas"
derek keating,Derek Keating,TD,"Dáil Éireann, the Oireachtas"
derek mitchell,Derek Mitchell,Councillor,Wicklow County Council
derek moran,Derek Moran,Secretary General,Department of Finance
derek nolan,Derek Nolan,TD,"Dáil Éireann, the Oireachtas"
dermot connolly,Dermot Connolly,Councillor,Galway County Council
dermot curran,Dermot Curran,Assistant Secretary,"Department of Jobs, Enterprise and Innovation"
dermot lacey,Dermot Lacey,Councillor,Dublin City Council
dermot looney,Dermot Looney,Councillor,South Dublin County Council
dermot mulligan,Dermot Mulligan,Assistant Secretary,Department of Education and Skills
dermot richardson,Dermot Richardson,Councillor,South Dublin County Council
dermot ryan,Dermot Ryan,Assistant Secretary,Department of Children and Youth Affairs
derry canty,Derry Canty,Councillor,Cork County Council
dervill donal,Dervill Donal,Councillor,Offaly County Council
des bruton,Des Bruton,Director of Services or Equivalent,Fingal County Council
des cahill,Des Cahill,Councillor,Cork City Council
des carville,Des Carville,Head of Unit,Department of Finance
des dowling,Des Dowling,Assistant Secretary,Department of Defence
des foley,Des Foley,Director of Services or Equivalent,Meath County Council
des guckian,Des Guckian,Councillor,Leitrim County Council
