"Id","Name","Address","County","Country","Phone","Website","Activities","PersonResponsibleName","PersonResponsibleEmail","PersonResponsibleTelephone","Email","CompanyRegistrationNumber","CompanyRegisteredName","CompanyRegisteredAddress","CharityRegulationNumber","CHYNumber"
"515","ActionAid Ireland","Ivy Exchange,, 172 Granby Place,, Parnell Square, Dublin 1, D01V125, Dublin","Dublin","Ireland","018787911","www.actionaid.ie","Other (International Development Organisation)","Jo-Ann Enright","jo-ann.enright@actionaid.org","018787911",,"95403","ACTIONAID IRELAND","172 IVY EXCHANGE GRANBY PLACE PARNELL SQUARE DUBLIN1","20013790","CHY6888"
"676","Active Retirement Ireland","124 The Capel Building, Mary's Abbey, Dublin, Dublin 7, Dublin","Dublin","Ireland","+353858056795","www.activeirl.ie","Other (Social Inclusion & Advocacy)","Peter Kavanagh","peter@activeirl.ie","+353858056795",,"458391","ACTIVE RETIREMENT NETWORK IRELAND","SUITE 124 THE CAPEL BUILDING MARY'S ABBEY DUBLIN 7","CHY 15090","15090"
"1495","Adelaide Health Foundation","Tallaght Hospital, Tallaght, Dublin, D24 NROA, Dublin","Dublin","Ireland","014142069","www.adelaide.ie","Health","Dr Catherine Darker","healthpolicy@adelaide.ie","014142069",,"224404","THE ADELAIDE HOSPITAL SOCIETY","ADELAIDE AND MEATH HOSPITAL TALLAGHT DUBLIN 24 ","20029869","11153"
"1135","Aer Lingus","Dublin Airport, Dublin, Co, Dublin","Dublin","Ireland","+353864170612","www.aerlingus.com","Other (Airline)","Bronach O'Connell","bronach.oconnell@aerlingus.com","+353864170612",,"9215","AER LINGUS LIMITED","DUBLIN AIRPORT, DUBLIN.  ",,
"1624","AerCap Holdings N.V.","AerCap House, 65 St. Stephen's Green, Dublin, 2, Dublin","Dublin","Ireland","01 819 2010","www.aercap.com","Other (Aircraft Leasing)","Marnix den Heijer","compliance@aercap.com","01 819 2010",,"908351","AERCAP HOLDINGS N.V","AERCAP HOUSE 65 ST. STEPHEN'S GREEN DUBLIN 2 ",,
"1358","Affinity Credit Union Limited","Main Street, Cashel, E25 CX21, Tipperary","Tipperary","Ireland","062 61699","www.affinitycu.ie","Finance","Tim Molan","tim@affinitycu.ie","062 61699",,,,,,
"789","Afri","134 Phibsborough Road, Phibsborough, D07V882, Dublin","Dublin","Ireland","018827563","www.afri.ie","Other (Justice, peace, human rights and sustainability)","Joe Murray","admin@afri.ie","018827563",,"251696","AFRI LIMITED","134, PHIBSBOROUGH  ROAD, PHIBSBOROUGH, DUBLIN  7. ","20017262","7627"
"615","Age & Opportunity","Marino Institute of Education, Griffith Avenue, Dublin 9, Dublin, D09 K4P6, Dublin","Dublin","Ireland","018057709","www.ageandopportunity.ie","Other (NGO promoting positive ageing)","Karen Smyth","karen.smyth@ageandopportunity.ie","018057735",,"284318","AGE AND OPPORTUNITY","MARINO INSTITUTE OF EDUCATION, GRIFFITH AVENUE, DUBLIN 9. ","12365","12365"
"86","Age Action","30/31 Lower Camden Street, Dublin, Dublin 2, Dublin","Dublin","Ireland","01 475 6989","www.ageaction.ie","Other (Representative organisation for older people in Ireland)","Justin Moran","advocacy@ageaction.ie","087 968 2449",,"198571","AGE ACTION IRELAND LIMITED","30/31 LOWER CAMDEN STREET DUBLIN 2  ",,"CHY10583"
"502","AHEAD","East Hall, UCD, Carysfort Avenue, Blackrock, Co. Dublin, Dublin","Dublin","Ireland","01 7164396","www.ahead.ie","Other (Inclusive education and employment)","Ann Heelan","Ann.Heelan@ahead.ie","01 7164395",,"317562","AHEAD","BLOCK 3, HARCOURT CENTRE HARCOURT ROAD, DUBLIN 2. ","CHY9999",
"1946","ahmed jamal oudah alkobaisi","IRAQ, BGW, 964",,"Iraq","7810502398",,"Lobbying",,"a.eng.ait@gmail.com",,,,,,,
"171","AIG Europe Ltd - Ireland Branch","30 North Wall Quay, IFSC, Dublin 1, D01 R8H7, Dublin","Dublin","Ireland","00 353 1 2084972","www.aig.ie","Finance","Declan O'Rourke - General Manager","declan.o'rourke@aig.com","00 353 1 2084935",,,,,,
"1670","Aileen O'Meara","Harbour View Business Centre, 7 - 9 Clarence Street, D??n Laoghaire,, Dublin, A96 AE10, Dublin","Dublin","Ireland","0872239830",,"Health",,"info@aileenomeara.ie",,,,,,,
"406","Airbnb Ireland UC","The Watermarque Building, South Lotts Road, Dublin, 4, Dublin","Dublin","Ireland","+353 1 697 1831","www.airbnb.com","Other (Travel and Tourism)","Natasha Mytton-Mills","natasha.myttonmills@airbnb.com","+353 1 697 1831",,,"AIRBNB IRELAND UC","25/28 NORTH WALL QUAY DUBLIN 1  ",,
"1825","Aiseiri Cahir DAC","Townspark, Cahir, Co.Tipperary, Cahir, E21 E206, Tipperary","Tipperary","Ireland","052-7441166","www.aiseiri.ie","Health","Mary Hennessy","mhennessy@aiseiri.ie","087-8200208",,"506175","AISEIRI CAHIR DESIGNATED ACTIVITY COMPANY","TOWNSPARK CAHIR CO. TIPPERARY ","CHY20096","20079550"
"1272","AKM Consultants Limited","Unit 4, Orchard Business Centre, 2009 Orchard Avenue, Citywest Business Campus, Dublin, D24, Dublin","Dublin","Ireland","01-4796234","www.akmdesign.ie","Construction","Jong Kim","jong@akmdesign.ie","01-4796234",,,"AKM Consultants Limited",,,
"108","AL Architects","Office 8b, The Courtyard, Lower Main Street,, Letterkenny, Donegal","Donegal","Ireland","00353 868377795","www.alarchitects.com","Construction","Adam Leadley","adam@alarchitects.com","0749128222",,,,,,
"344","Alan McMenamin","62 Lawnsdale, Ballybofey, F93 N2C2, Donegal","Donegal","Ireland","0872629024",,"Other (Advocating for Individuals & groups on matters of National & Local Authority Policy, Regulation, Development, Legislation etc)",,"mcmenaminalan@yahoo.ie",,,,,,,
"393","Alcohol Action Ireland","Coleraine House, Coleraine Street, Dublin 7, Dublin, Dublin","Dublin","Ireland","01-8780610","www.alcoholireland.ie","Lobbying","Suzanne Costello","suzanne@alcoholactionireland.ie","01-8780610",,,,,"CHY15342",
"1417","Alcohol Awareness Foundation Ireland (T/A Drinkaware)","Fitzwilliam House, 3-4 Upper Pembroke St, Dublin, 2, Dublin","Dublin","Ireland","0035315175900","www.drinkaware.ie","Other (Education and awareness relating to alcohol)","Niamh Gallagher","niamh@drinkaware.ie","00 353 1 5175900",,"578361","ALCOHOL AWARENESS FOUNDATION IRELAND","FITZWILLIAM HOUSE 3-4 UPPER PEMBROKE STREET DUBLIN 2 ",,
"2015","Alcohol Forum","Unit B9 Enterprise Fund Business Centre, Ballyraine, Letterkenny, F92CX47, Donegal","Donegal","Ireland","0749125596","www.alcoholforum.org","Health","Kieran Doherty","Kieran@alcoholforum.org","0876790241",,,"North West Alcohol Forum CLG","Unit B9 Enterprise Fund Business Centre  Ballyraine Letterkenny","20067120","CHY17835"
"512","Alcon Laboratories Ireland Ltd","Cork Business & Technology Park, Model Farm Road, Cork, T12RX79, Cork","Cork","Ireland","00353214865100","www.alcon.com","Manufacturing","Jackie Murphy","jackie-1.murphy@alcon.com","00353214865185",,"381537","ALCON LABORATORIES IRELAND LIMITED","CORK BUSINESS & TECHNOLOGY PARK MODEL FARM ROAD CORK CO CORK",,
"1117","Alice PR & Events","28 Great Strand Street, Dublin 1, Dublin, D01 EA40, Dublin","Dublin","Ireland","015582151","www.alicepr.com","Other (Public Relations & Event Management Consultancy)","Martina Quinn","martina@alicepr.com","01-5582151",,"550980","ALICE PR & EVENTS","APARTMENT 212  BLOCK E CASTLEFORBES SQUARE CASTLEFORBES ROAD, DUBLIN 1","N/A","N/A"
"803","Allied Irish Banks p.l.c.","Bankcentre, Ballsbridge, Dublin 4, Dublin, D04 NV02, Dublin","Dublin","Ireland","01 6418624","www.aib.ie","Finance","Emma Bradley","emma.m.bradley@aib.ie","01 6418624",,"24173","ALLIED IRISH BANKS PUBLIC LIMITED COMPANY","BANKCENTRE, BALLSBRIDGE, DUBLIN 4. ",,
"365","ALONE","Olympic House, Pleasants Street, Dublin, 8, Dublin","Dublin","Ireland","016791032","www.alone.ie","Other (Charity for older people)","Sean Moynihan","sean.m@alone.ie","01 679 1032",,,,,,"CHY8259"
"1838","Alpha One Foundation","RCSI Building, Beaumont Hospital, Dublin, 9, Dublin","Dublin","Ireland","01 8093871","www.alpha1.ie","Health","Geraldine Kelly","geraldinekelly@rcsi.ie","018093871",,,"Alpha One Foundation","RCSI Building, Beaumont Hospital, Dublin 9",,"CHY 14812"
"1759","AM O'Sullivan PR Ltd.","The Lodge,, University Technology Centre,, Curraheen Road, Bishopstown, Cork, T12 KR52, Cork","Cork","Ireland","0214663076","www.amosullivanpr.ie","Other (Strategic Communications Consultancy)","Ann-Marie O'Sullivan","annmarie@amosullivanpr.ie","021 4663076",,"559315","AM O'SULLIVAN PR LIMITED","9 SOUTH MALL CORK CO. CORK ",,
"1903","Amazon UK Services Ltd.","60 Holborn Viaduct, London, EC1A 2FD",,"United Kingdom","02036801648","www.amazon.co.uk","Other (Retail and Ecommerce)","Lesley Smith","lesleys@amazon.co.uk","+442036802429",,,"AMAZON UK SERVICES LTD.","60 Holborn Viaduct, London, EC1A 2FD",,
"705","AMEN Support Services LTD","St. Annes Resource Centre, Railway Street, Navan, Meath","Meath","Ireland","0469076864","www.amen.ie","Other (Charity supporting male victims of domestic abuse)","Niamh Farrell","niamh@amen.ie","0860299994",,"489263","AMEN SUPPORT SERVICES LIMITED","SAINT ANNE'S RECOURCE CENTRE RAILWAY STREET NAVAN CO. MEATH.",,"CHY13025"
"274","American Chamber of Commerce Ireland","6 Wilton Place, Dublin 2, D02 YD51, Dublin","Dublin","Ireland","0879211841",,,"Mark Redmond","m.redmond@amcham.ie","0876297540",,"18926","AMERICAN CHAMBER OF COMMERCE IRELAND","6 WILTON PLACE DUBLIN 2  ",,
"471","Amnesty International Ireland","Sean MacBride House, 48 Fleet Street, Dublin, Dublin","Dublin","Ireland","01 8638300","www.amnesty.ie","Other (Amnesty International works to promote, protect and defend human rights. We undertake detailed research which informs and underpins our advocacy and campaigning efforts to help fight human rights violations both domestically and internationally. We deliver human rights education programmes to ensure that our members and the wider public are empowered to claim their own rights, and defend the human rights of others.)","Colm O'Gorman","cogorman@amnesty.ie","01 8638354",,"432452","AMNESTY INTERNATIONAL IRISH SECTION LIMITED","48 FLEET STREET DUBLIN 2  ",,
"788","An Cosan","Kiltalown Village Centre, Jobstown, 24, Dublin","Dublin","Ireland","014628488","www.ancosan.ie","Other (Community Education)","Maria Golden","m.golden@ancosan.com","0852542297",,"131383","THE SHANTY EDUCATIONAL PROJECT COMPANY LIMITED BY GUARANTEE","KILTALAWN VILLAGE CENTRE FORTUNESTOWN ROAD JOBSTOWN TALLAGHT DUBLIN 24","8659",
"167","An Post","O'Connell Street, Dublin1, DO1f5p2, Dublin","Dublin","Ireland","01-7058852","www.anpost.ie","Communications/Electronics","Brian Fay","brian.fay@anpost.ie","017058804",,,,,,
"1386","An Siol CDP","19 Manor Street, Dublin 7, D07 N973, Dublin","Dublin","Ireland","016775741","www.ansiol.ie","Other (Communicty Development Project Dublin 7)","Owen Binchy","owen@ansiol.ie","016775741",,,"NWICDP Ltd trading as An Siol CDP","19 Manor Street, Dublin 7, D07 N973","20073626","18951"
"374","An Taisce The National Trust for Ireland","Tailors' Hall, Back Lane, Dublin 8, D08 X2A3, Dublin","Dublin","Ireland","+ 353 1 454 1786","www.antaisce.org","Other (We are a charity working to preserve and protect Ireland's natural and built heritage.)","Charles Stanley-Smith","charles@r495.com","+353 87 2411995",,"12469","AN TAISCE - THE NATIONAL TRUST FOR IRELAND","THE TAILORS' HALL BACK LANE DUBLIN 8 ","20006358","4741"
"74","Ana Liffey Drug Project","48 Middle Abbey Street, Dublin 1, Dublin, 1",,"Ireland","0872227922","www.aldp.ie","Health","Marcus Keane","marcus.keane@aldp.ie","00353872227922",,"109034",,,"20013301","6775"
"1193","Andelaine Consulting","2 Beginis Way, Cahersiveen, Kerry","Kerry","Ireland","0862198182",,"Lobbying","Thomas Duhig","John_Duhig@hotmail.com","0862198182",,"406849","ANDELAINE CONSULTANTS LIMITED","2 BEGINIS WAY CAHERSIVEEN CO. KERRY ",,
"1568","Anew Support Services","Office E, First Floor, Block C, The Courtyarrd, Newbridge, Kildare","Kildare","Ireland","086 411 7731","www.anew.ie","Other (Charity for vulnerable pregnant women)","Marian Barnard","marian.barnard@anew.ie","086 4117731",,"494801","ANEW SUPPORT SERVICES COMPANY LIMITED BY GUARANTEE","BLOCK B IVEAGH COURT HARCOURT ROAD DUBLIN 2","20022983","9172"
"58","Animal and Plant Health Association (APHA)","31A Ravens Rock Road, Sandyford Industrial Estate, Dublin 18, Dublin, Dublin","Dublin","Ireland","01 2930021","www.apha.ie","Industry body","John Keogh","jkeogh@apha.ie","01 2930021",,"260677","ANIMAL & PLANT HEALTH ASSOCIATION COMPANY LIMITED BY GUARANTEE","31A RAVENS ROCK ROAD SANDYFORD INDUSTRIAL ESTATE DUBLIN 18 ",,
"1204","Anne Sullivan Foundation For Deaf BlindPeople","Silver Pines, Brewery Road, Stillorgan, Stillorgan, Dublin","Dublin","Ireland","0872318143","info@annesullivan.ie","Health","Frank Furlong","ffurlong@hotmail.com","(01) 8300562 & 087 2318143",,,,,"Anne Sullivan Foundation for DeafBlind People","CHY9900"
"586","Annod Investments Limited","Saggart Lodge, Saggart, Saggart, Dublin","Dublin","Ireland","086 609 5514",,"Construction","Sally Anne Browne","sallyanne@sasolutions.ie","086 609 5514",,"570011","ANNOD INVESTMENTS LIMITED","SAGGART LODGE HOUSE SAGGART CO. DUBLIN ",,
"855","AnovoCare Limited","Stockhole Lane, Cloghran, Swords, Dublin","Dublin","Ireland","+353 1 5630400","www.anovocare.ie","Health","Peter Purcell","peterp@nerin.co.im","+353 87 4671078",,"541567","ANOVOCARE LIMITED","1, TERENURE PLACE, TERENURE, DUBLIN 6W. ",,
"1779","AnovoCare Nursing Home","Stockhole Lane, Cloghran, Swords, 0, Dublin","Dublin","Ireland","015630400","www.anovocare.ie","Health","Dermot McCann","dermot.mccann@anovocare.ie","015630400",,,"541567","Medici House, Unit 2, Ashbourne Manufacturing Park, Ashbourne, Co. Meath",,
"641","Anti Corruption International","Office 6F, Unit 6, K.C.R Business estate, Kimmage,, Dublin 12, Dublin, D12, Dublin","Dublin","Ireland","0860878151","anticorruption-intl.org","Other (NGO, Anti-Corruption & Transparency)","Jason Deegan","president@anticorruption-intl.org","0860878151",,"571621","ANTI CORRUPTION INTERNATIONAL","ANTI-CORRUPTION INTERNATIONAL OFFICE 6F UNIT 6 KCR BUSINESS ESTATE KIMMAGE DUBLIN 12",,
"1606","Aon Hewitt (Ireland) Limited","5th Floor Block D, Iveagh Court, Harcourt Road, Dublin 2, D02VH94, Dublin","Dublin","Ireland","01 4705651","aon.com","Finance","Pat White","patrick.white@aonhewitt.com","01 4705651",,"356441","AON HEWITT (IRELAND) LIMITED","5TH FLOOR, BLOCK D, IVEAGH COURT, HARCOURT ROAD, DUBLIN 2.",,
"154","AONTAS","83-87 Main Street, Ranelagh, Dublin 6, Dublin","Dublin","Ireland","01-4068220","www.aontas.com","Other (Advocacy)","Benjamin Hendriksen","bhendriksen@aontas.com","01-4068220",,"80958","AONTAS NATIONAL ADULT LEARNING ORGANISATION COMPANY LIMITED BY GUARANTEE","SECOND FLOOR, 83/87, MAIN STREET, RANELAGH, DUBLIN 6.","6719","6719"
"1116","Apple Distribution International","Hollyhill Industrial Estate, Hollyhill, T23 YK84, Cork","Cork","Ireland","021 428 4000","www.apple.com/ie","Communications/Electronics","Claire Thwaites","thwaites_c@apple.com","+44-203-2846364",,"470672","APPLE DISTRIBUTION INTERNATIONAL","HOLLYHILL INDUSTRIAL ESTATE HOLLYHILL CORK ",,
"883","ARC Architectural Consultants Ltd","30 Dalkey Park, Dalkey, na, Dublin","Dublin","Ireland","+353876717658","www.arc.ie","Other (Architectural and planning practice)","Amy Hastings","info@arc.ie","012350525",,,"ARC Architectural Consultants Ltd","30 Dalkey Park, Dalkey, Co. Dublin",,
"1584","Archdiocese of Dublin","Holy Cross College and Diocesan Centre, Clonliffe Road, Dublin, 3, Dublin","Dublin","Ireland","01-8373732","www.dublindiocese.ie","Other (Religious Organisation)","Annette O Donnell","annette.odonnell@dublindiocese.ie","01-8360723",,,,,"CHY1333","CHY1333"
"854","Arena Capital Partners Ltd","107 Dublin Airport Business Pk, Swords Road, Santry, Dublin 9, Dublin","Dublin","Ireland","018427595","www.arenacapital.ie","Energy & Natural Resources","Thomas Costello","tommy@arenacapital.ie","018427595",,"549585","ARENA CAPITAL PARTNERS LIMITED","SUITE 107 DUBLIN AIRPORT BUSINESS PARK CLOGHRAN DUBLIN",,
"808","Arramara Teoranta","Cill Chiar?!in, Conamara, Co. na Gaillimhe, Cill Chiar?!in, Galway","Galway","Ireland","0872429280","www.arramara.ie","Energy & Natural Resources","Jim Keogh","jfk@arramara.ie","0872429280",,"11792","ARRAMARA TEORANTA","KPMG DOCKGATE DOCK ROAD GALWAY",,
"315","Arthritis Ireland","1 Clanwilliam Square, Grand Canal Quay, Dublin 2, D02 DH77, Dublin","Dublin","Ireland","016470203","www.arthritisireland.ie","Health","Brian Lynch","blynch@arthritisireland.ie","0861857529",,"78931","ARTHRITIS IRELAND","1, CLANWILLIAM SQUARE, GRAND CANAL QUAY, DUBLIN 2. ",,"6297"
"1665","Arthur Cox","Earlsfort Centre, Earlsfort Terrace, Dublin 2, D02 CK83, Dublin","Dublin","Ireland","+353 1 618 0800","www.arthurcox.com","Other (Law Firm)","Robin Wrisley","robin.wrisley@arthurcox.com","+353 1 618 0804",,,"N/A","N/A","N/A",
"1409","Arup","50 Ringsend Road, Dublin 4, Dublin, D04T6XO, Dublin","Dublin","Ireland","01 2334455","www.arup.com","Other (Engineering Consultancy)","Eddie Feely","eddie.feely@arup.com","01 2334455",,"37037","OVE ARUP & PARTNERS IRELAND LIMITED","50 RINGSEND ROAD DUBLIN 4.  ",,
"1849","ASAP Dublin (Association of Serviced Apartments  Dublin","Wentworth House, 13 Eblana Villas, Lower Grand Canal Street Dublin 2, Dublin","Dublin","Ireland","087 2663055",,"Lobbying","Eithne Butler","Eithne@dialashortlet.com","+353872663055",,,,,,
"155","ASH Ireland","50 Ringsend Road, Dublin 4, Dublin","Dublin","Ireland","0818305055","www.ash.ie","Other (Advocacy based anti-smoking organisation)","Brid Leahy","info@ash.ie","0818305055",,"190415","ASH IRELAND","50 RINGSEND ROAD DUBLIN 4  ","10616",
"1875","Aspire- The Asperger Syndrome Association of Ireland","The Carmichael centre, Coleraine House, Coleraine Street, Dublin 7, 7, Dublin","Dublin","Ireland","018780029","www.aspireireland.ie","Health","Aileen Cruise","aileen@aspireireland.ie","018780029",,"231996","ASPERGER SYNDROME ASSOCIATION OF IRELAND COMPANY LIMITED BY GUARANTEE","CARMICHAEL CENTRE FOR VOLUNTARY GROUPS, CARMICHAEL HOUSE, NORTH BRUNSWICK STREET, DUBLIN 7.",,"11438"
"936","Association for Financial Markets in Europe","39th Floor, 25 Canada Square, London, E145LQ",,"United Kingdom","+442038282712","afme.eu","Industry body","Tanguy van de Werve","tanguy.vandewerve@afme.eu","+3227883970",,,"Association for Financial Markets in Europe","39th Floor, 25 Canada Square, London E14 5LQ, UK",,
"1275","Association of Advertisers in Ireland","Fitzwilliam Business Centre, 26 Upper Pembroke Street, Dublin 2, Dublin, DUBLIN 2, Dublin","Dublin","Ireland","01 6373950 Mobile 086 - 2230055","www.aai.ie","Lobbying","Barry Dooley","barry.dooley@aai.ie","086 223 00 55",,,,,,
"1830","Association of Barristers in Ireland","6 Arran Chambers, 6 Arran Quay, Dublin 7",,"Ireland","016859268",,"Industry body","TBC","hello@barristerprofessionalbody.ie","016859268",,,,,,
"1103","Association of Community and Comprehensive Schools","10H Centrepoint Business Park, Oak Drive, Dublin 12, Dublin, 12, Dublin","Dublin","Ireland","014601150","www.accs.ie","Other (Management organisation for community and comprehensive schools)","Eileen Salmon","esalmon@accs.ie","0868821126",,"374433","THE ASSOCIATION OF COMMUNITY AND COMPREHENSIVE SCHOOLS","10H Centrepoint Business Park Oak Drive Off Oak Road Dublin 12","CHY 8692","8692"
"878","Association of Compliance Officers in Ireland","Lower Ground Floor, 5 Fitzwilliam Square, Dublin 2, Dublin","Dublin","Ireland","01 7790200","www.acoi.ie","Industry body","Evelyn Cregan","evelyn.cregan@acoi.ie","01 7790209",,,"Association of Compliance Officers in Ireland","Lower Ground Floor, 5 Fitzwilliam Square, Dublin 2","CHY 17471","17471"
"316","Association of Consulting Engineers of Ireland","46 Merrion Square, Dublin 2, Dublin","Dublin","Ireland","+353-1-6425588","www.acei.ie","Industry body","Dr Sarah Ingle","sarah.ingle@acei.ie","+353-1-6425588",,"16499","THE ASSOCIATION OF CONSULTING ENGINEERS IRELAND","46, MERRION SQUARE, DUBLIN 2.  ",,
"60","Association of Garda Sergeants and Inspectors ( AGSI)","6th Floor, Phibsboro Tower, Phibsboro, Dublin, 7, Dublin","Dublin","Ireland","0863980354","www.agsi.ie","Trade union","John Jacob","deputysec@agsi.ie","018303166",,,,,,
"1442","Association of Higher Civil & Public Servants","Flemings Hall, 12 Flemings Place, Dublin 4, Dublin","Dublin","Ireland","01 6686077","www.ahcps.ie","Trade union","Ciaran Rohan","crohan@ahcps.ie","01 6686077",,,,,,
"106","Association of International Life Offices","Level 21 Bastion Tower, 5 Place du Champ de Mars, Brussels, B- 1050",,"Luxembourg","+447446078814","www.ailo.org","Industry body","Alan Morgan-Moodie","ceo@ailo.oeg","+447446078814",,,"Association of International Life Offices","1st Floor, Tudor House, Le Bordage, St Peter Port, Guernsey, GY1 1DB, Channel Islands",,
"114","Association of Irish Local Government","Office Unit 10, Manor Mills, Maynooth, Kildare","Kildare","Ireland","01 6106100","www.ailg.ie","Other (Local government representation)","Liam Kenny","councillors@gmail.com","01 6106100",,,,,,
"1882","Association of Leaders of Missionaries & Religious of Ireland","AMRI Office, c/o Missionaries of Africa, Cypress Grove Road, Templeogue, D6W YV12, Dublin","Dublin","Ireland","0871402300","www.amri.ie","Other (Promotion of religion)","Liz Murphy","liz.murphy@amri.ie","0871402300",,,"Association of Missionaries and Religious of Ireland","AMRI Office, c/o Missionaries of Africa, Cypress Grove Road, Templeogue, Dublin D6W YV12","20023263","9301"
